,Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
1221,All modes,All undergraduates,All subjects,,,Theme 4: Academic support,1273,1892,,,,,,,,87.4,85.2,2.2,1,4.1,0,64,36,1275,67.4
1222,All modes,All undergraduates,All subjects,,,Theme 5: Organisation and management,1274,1892,,,,,,,,80.7,79.6,1.1,1.1,4.1,0.1,88.4,11.5,1275,67.4
1223,All modes,All undergraduates,All subjects,,,Theme 6: Learning resources,1268,1892,,,,,,,,87.1,87.6,-0.5,0.9,4.1,1.7,98.2,0,1275,67.4
1224,All modes,All undergraduates,All subjects,,,Theme 7: Student voice,1266,1892,,,,,,,,67.2,73.1,-5.8,1.2,4.1,99.6,0.4,0,1275,67.4
1225,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q01: How good are teaching staff at explaining things?,30,30,,20,10,0,0,,0,100,93.1,6.9,3.6,1.1,0.4,10.6,88.9,30,100
1226,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q02: How often do teaching staff make the subject engaging?,30,30,,18,11,1,0,,0,96.7,78.8,17.8,6.1,1.1,0,0.5,99.4,30,100
1227,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q03: How often is the course intellectually stimulating?,30,30,,19,11,0,0,,0,100,84.9,15.1,4.8,1.1,0,0.4,99.6,30,100
1228,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q04: How often does your course challenge you to achieve your best work?,30,30,,20,10,0,0,,0,100,79.6,20.4,5.3,1.1,0,0,100,30,100
1229,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,30,30,,21,8,1,0,,0,96.7,81.4,15.3,5.7,1.1,0.1,1.2,98.7,30,100
1230,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,30,30,,21,8,1,0,,0,96.7,85,11.6,5.3,1.1,0.4,3.8,95.8,30,100
1231,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,30,30,,25,5,0,0,,0,100,81.9,18.1,5.5,1.1,0,0.2,99.8,30,100
1232,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q08: To what extent does your course have the right balance of directed and independent study?,30,30,,18,9,3,0,,0,90,77,13,6.9,1.1,1.2,5.2,93.6,30,100
1233,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,30,30,,18,11,1,0,,0,96.7,77.8,18.9,5.9,1.1,0,0.3,99.7,30,100
1234,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q10: How clear were the marking criteria used to assess your work?,30,30,,10,16,4,0,,0,86.7,72.8,13.8,7.1,1.1,1.1,4.4,94.5,30,100
1235,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q11: How fair has the marking and assessment been on your course?,30,30,,9,18,3,0,,0,90,75.9,14.1,6.7,1.1,0.6,3.5,95.9,30,100
1236,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q12: How well have assessments allowed you to demonstrate what you have learned?,30,30,,13,15,2,0,,0,93.3,76.5,16.8,6.5,1.1,0.1,1.2,98.6,30,100
1237,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q13: How often have you received assessment feedback on time?,30,30,,10,14,5,1,,0,80,80.5,-0.5,7.1,1.1,39.1,27.4,33.4,30,100
1238,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q14: How often does feedback help you to improve your work?,30,30,,14,15,1,0,,0,96.7,66.1,30.6,7,1.1,0,0,100,30,100
1239,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q15: How easy was it to contact teaching staff when you needed to?,30,30,,21,9,0,0,,0,100,84.7,15.3,5.3,1.1,0,0.7,99.3,30,100
1240,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q16: How well have teaching staff supported your learning?,30,30,,20,10,0,0,,0,100,84.3,15.7,5.4,1.1,0,0.7,99.3,30,100
1241,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q17: How well organised is your course?,30,30,,11,18,1,0,,0,96.7,79.4,17.3,5.9,1.1,0,0.6,99.3,30,100
1242,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q18: How well were any changes to teaching on your course communicated?,30,30,,15,14,1,0,,0,96.7,80.3,16.4,6.2,1.1,0.1,1.1,98.7,30,100
1243,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q19: How well have the IT resources and facilities supported your learning?,28,30,,16,10,2,0,,2,92.9,86.4,6.5,5.8,1.1,6,18.6,75.4,30,100
1244,Full-time,All undergraduates,CAH1,CAH04,Psychology,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",28,30,,14,12,2,0,,2,92.9,91.5,1.4,5,1,21.9,37.3,40.8,30,100
1245,Full-time,All undergraduates,CAH1,CAH04,Psychology,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",29,30,,16,12,1,0,,1,96.6,89.7,6.8,5,1.1,3,16.2,80.8,30,100
1246,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q22: To what extent do you get the right opportunities to give feedback on your course?,30,30,,25,5,0,0,,0,100,84.6,15.4,5.1,1.1,0,0.6,99.4,30,100
1247,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q23: To what extent are students' opinions about the course valued by staff?,30,30,,25,5,0,0,,0,100,79.9,20.1,5.9,1.1,0,0.1,99.9,30,100
1248,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q24: How clear is it that students' feedback on the course is acted on?,30,30,,21,9,0,0,,0,100,66,34,7.3,1.1,0,0,100,30,100
1249,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q25: How well does the students' union (association or guild) represent students' academic interests?,28,30,,10,16,2,0,,2,92.9,76.7,16.1,6.9,1.2,0.3,2,97.6,30,100
1250,Full-time,All undergraduates,CAH1,CAH04,Psychology,Q26: How well communicated was information about your university/college's mental wellbeing support services?,30,30,,10,19,0,1,,0,96.7,80.2,16.5,6.2,1.1,0.1,1.1,98.8,30,100
1251,Full-time,All undergraduates,CAH1,CAH04,Psychology,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",30,30,,16,12,1,1,,0,93.3,85.3,8,5.7,1.3,3.3,13.4,83.3,30,100
1252,Full-time,All undergraduates,CAH1,CAH04,Psychology,Theme 1: Teaching on my course,30,30,,,,,,,,99.2,84.1,15.1,5.1,1.1,0,0.6,99.3,30,100
1253,Full-time,All undergraduates,CAH1,CAH04,Psychology,Theme 2: Learning opportunities,30,30,,,,,,,,96,80.6,15.4,6,1.1,0.1,1.4,98.5,30,100
1254,Full-time,All undergraduates,CAH1,CAH04,Psychology,Theme 3: Assessment and feedback,30,30,,,,,,,,89.3,74.4,14.9,6.9,1.1,0.6,3.1,96.3,30,100
1255,Full-time,All undergraduates,CAH1,CAH04,Psychology,Theme 4: Academic support,30,30,,,,,,,,100,84.5,15.5,5.3,1.1,0,0.7,99.3,30,100
1256,Full-time,All undergraduates,CAH1,CAH04,Psychology,Theme 5: Organisation and management,30,30,,,,,,,,96.7,79.9,16.8,6.1,1.1,0.1,0.9,99,30,100
1257,Full-time,All undergraduates,CAH1,CAH04,Psychology,Theme 6: Learning resources,30,30,,,,,,,,93.9,89.3,4.6,5.2,1.1,8.8,25.7,65.5,30,100
1258,Full-time,All undergraduates,CAH1,CAH04,Psychology,Theme 7: Student voice,30,30,,,,,,,,100,76.9,23.1,6.2,1.1,0,0,100,30,100
1259,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q01: How good are teaching staff at explaining things?,30,30,,20,10,0,0,,0,100,93.1,6.9,3.6,1.1,0.4,10.6,88.9,30,100
1260,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q02: How often do teaching staff make the subject engaging?,30,30,,18,11,1,0,,0,96.7,78.8,17.8,6.1,1.1,0,0.5,99.4,30,100
1261,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q03: How often is the course intellectually stimulating?,30,30,,19,11,0,0,,0,100,84.9,15.1,4.8,1.1,0,0.4,99.6,30,100
1262,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q04: How often does your course challenge you to achieve your best work?,30,30,,20,10,0,0,,0,100,79.6,20.4,5.3,1.1,0,0,100,30,100
1263,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,30,30,,21,8,1,0,,0,96.7,81.4,15.3,5.7,1.1,0.1,1.2,98.7,30,100
1264,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,30,30,,21,8,1,0,,0,96.7,85,11.6,5.3,1.1,0.4,3.8,95.8,30,100
1265,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,30,30,,25,5,0,0,,0,100,81.9,18.1,5.5,1.1,0,0.2,99.8,30,100
1266,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q08: To what extent does your course have the right balance of directed and independent study?,30,30,,18,9,3,0,,0,90,77,13,6.9,1.1,1.2,5.2,93.6,30,100
1267,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,30,30,,18,11,1,0,,0,96.7,77.8,18.9,5.9,1.1,0,0.3,99.7,30,100
1268,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q10: How clear were the marking criteria used to assess your work?,30,30,,10,16,4,0,,0,86.7,72.8,13.8,7.1,1.1,1.1,4.4,94.5,30,100
1269,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q11: How fair has the marking and assessment been on your course?,30,30,,9,18,3,0,,0,90,75.9,14.1,6.7,1.1,0.6,3.5,95.9,30,100
1270,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q12: How well have assessments allowed you to demonstrate what you have learned?,30,30,,13,15,2,0,,0,93.3,76.5,16.8,6.5,1.1,0.1,1.2,98.6,30,100
1271,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q13: How often have you received assessment feedback on time?,30,30,,10,14,5,1,,0,80,80.5,-0.5,7.1,1.1,39.1,27.4,33.4,30,100
1272,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q14: How often does feedback help you to improve your work?,30,30,,14,15,1,0,,0,96.7,66.1,30.6,7,1.1,0,0,100,30,100
1273,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q15: How easy was it to contact teaching staff when you needed to?,30,30,,21,9,0,0,,0,100,84.7,15.3,5.3,1.1,0,0.7,99.3,30,100
1274,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q16: How well have teaching staff supported your learning?,30,30,,20,10,0,0,,0,100,84.3,15.7,5.4,1.1,0,0.7,99.3,30,100
1275,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q17: How well organised is your course?,30,30,,11,18,1,0,,0,96.7,79.4,17.3,5.9,1.1,0,0.6,99.3,30,100
1276,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q18: How well were any changes to teaching on your course communicated?,30,30,,15,14,1,0,,0,96.7,80.3,16.4,6.2,1.1,0.1,1.1,98.7,30,100
1277,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q19: How well have the IT resources and facilities supported your learning?,28,30,,16,10,2,0,,2,92.9,86.4,6.5,5.8,1.1,6,18.6,75.4,30,100
1278,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",28,30,,14,12,2,0,,2,92.9,91.5,1.4,5,1,21.9,37.3,40.8,30,100
1279,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",29,30,,16,12,1,0,,1,96.6,89.7,6.8,5,1.1,3,16.2,80.8,30,100
1280,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q22: To what extent do you get the right opportunities to give feedback on your course?,30,30,,25,5,0,0,,0,100,84.6,15.4,5.1,1.1,0,0.6,99.4,30,100
1281,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q23: To what extent are students' opinions about the course valued by staff?,30,30,,25,5,0,0,,0,100,79.9,20.1,5.9,1.1,0,0.1,99.9,30,100
1282,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q24: How clear is it that students' feedback on the course is acted on?,30,30,,21,9,0,0,,0,100,66,34,7.3,1.1,0,0,100,30,100
1283,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q25: How well does the students' union (association or guild) represent students' academic interests?,28,30,,10,16,2,0,,2,92.9,76.7,16.1,6.9,1.2,0.3,2,97.6,30,100
1284,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Q26: How well communicated was information about your university/college's mental wellbeing support services?,30,30,,10,19,0,1,,0,96.7,80.2,16.5,6.2,1.1,0.1,1.1,98.8,30,100
1285,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",30,30,,16,12,1,1,,0,93.3,85.3,8,5.7,1.3,3.3,13.4,83.3,30,100
1286,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Theme 1: Teaching on my course,30,30,,,,,,,,99.2,84.1,15.1,5.1,1.1,0,0.6,99.3,30,100
1287,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Theme 2: Learning opportunities,30,30,,,,,,,,96,80.6,15.4,6,1.1,0.1,1.4,98.5,30,100
1288,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Theme 3: Assessment and feedback,30,30,,,,,,,,89.3,74.4,14.9,6.9,1.1,0.6,3.1,96.3,30,100
1289,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Theme 4: Academic support,30,30,,,,,,,,100,84.5,15.5,5.3,1.1,0,0.7,99.3,30,100
1290,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Theme 5: Organisation and management,30,30,,,,,,,,96.7,79.9,16.8,6.1,1.1,0.1,0.9,99,30,100
1291,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Theme 6: Learning resources,30,30,,,,,,,,93.9,89.3,4.6,5.2,1.1,8.8,25.7,65.5,30,100
1292,Full-time,All undergraduates,CAH2,CAH04-01,Psychology,Theme 7: Student voice,30,30,,,,,,,,100,76.9,23.1,6.2,1.1,0,0,100,30,100
1293,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q01: How good are teaching staff at explaining things?,30,30,,20,10,0,0,,0,100,93.1,6.9,3.6,1.1,0.4,10.6,88.9,30,100
1294,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q02: How often do teaching staff make the subject engaging?,30,30,,18,11,1,0,,0,96.7,78.8,17.8,6.1,1.1,0,0.5,99.4,30,100
1295,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q03: How often is the course intellectually stimulating?,30,30,,19,11,0,0,,0,100,84.9,15.1,4.8,1.1,0,0.4,99.6,30,100
1296,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q04: How often does your course challenge you to achieve your best work?,30,30,,20,10,0,0,,0,100,79.6,20.4,5.3,1.1,0,0,100,30,100
1297,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q05: To what extent have you had the chance to explore ideas and concepts in depth?,30,30,,21,8,1,0,,0,96.7,81.4,15.3,5.7,1.1,0.1,1.2,98.7,30,100
1298,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,30,30,,21,8,1,0,,0,96.7,85,11.6,5.3,1.1,0.4,3.8,95.8,30,100
1299,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q07: To what extent have you had the chance to bring together information and ideas from different topics?,30,30,,25,5,0,0,,0,100,81.9,18.1,5.5,1.1,0,0.2,99.8,30,100
1300,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q08: To what extent does your course have the right balance of directed and independent study?,30,30,,18,9,3,0,,0,90,77,13,6.9,1.1,1.2,5.2,93.6,30,100
1301,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,30,30,,18,11,1,0,,0,96.7,77.8,18.9,5.9,1.1,0,0.3,99.7,30,100
1302,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q10: How clear were the marking criteria used to assess your work?,30,30,,10,16,4,0,,0,86.7,72.8,13.8,7.1,1.1,1.1,4.4,94.5,30,100
1303,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q11: How fair has the marking and assessment been on your course?,30,30,,9,18,3,0,,0,90,75.9,14.1,6.7,1.1,0.6,3.5,95.9,30,100
1304,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q12: How well have assessments allowed you to demonstrate what you have learned?,30,30,,13,15,2,0,,0,93.3,76.5,16.8,6.5,1.1,0.1,1.2,98.6,30,100
1305,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q13: How often have you received assessment feedback on time?,30,30,,10,14,5,1,,0,80,80.5,-0.5,7.1,1.1,39.1,27.4,33.4,30,100
1306,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q14: How often does feedback help you to improve your work?,30,30,,14,15,1,0,,0,96.7,66.1,30.6,7,1.1,0,0,100,30,100
1307,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q15: How easy was it to contact teaching staff when you needed to?,30,30,,21,9,0,0,,0,100,84.7,15.3,5.3,1.1,0,0.7,99.3,30,100
1308,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q16: How well have teaching staff supported your learning?,30,30,,20,10,0,0,,0,100,84.3,15.7,5.4,1.1,0,0.7,99.3,30,100
1309,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q17: How well organised is your course?,30,30,,11,18,1,0,,0,96.7,79.4,17.3,5.9,1.1,0,0.6,99.3,30,100
1310,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q18: How well were any changes to teaching on your course communicated?,30,30,,15,14,1,0,,0,96.7,80.3,16.4,6.2,1.1,0.1,1.1,98.7,30,100
1311,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q19: How well have the IT resources and facilities supported your learning?,28,30,,16,10,2,0,,2,92.9,86.4,6.5,5.8,1.1,6,18.6,75.4,30,100
1312,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",28,30,,14,12,2,0,,2,92.9,91.5,1.4,5,1,21.9,37.3,40.8,30,100
1313,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",29,30,,16,12,1,0,,1,96.6,89.7,6.8,5,1.1,3,16.2,80.8,30,100
1314,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q22: To what extent do you get the right opportunities to give feedback on your course?,30,30,,25,5,0,0,,0,100,84.6,15.4,5.1,1.1,0,0.6,99.4,30,100
1315,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q23: To what extent are students' opinions about the course valued by staff?,30,30,,25,5,0,0,,0,100,79.9,20.1,5.9,1.1,0,0.1,99.9,30,100
1316,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q24: How clear is it that students' feedback on the course is acted on?,30,30,,21,9,0,0,,0,100,66,34,7.3,1.1,0,0,100,30,100
1317,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q25: How well does the students' union (association or guild) represent students' academic interests?,28,30,,10,16,2,0,,2,92.9,76.7,16.1,6.9,1.2,0.3,2,97.6,30,100
1318,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Q26: How well communicated was information about your university/college's mental wellbeing support services?,30,30,,10,19,0,1,,0,96.7,80.2,16.5,6.2,1.1,0.1,1.1,98.8,30,100
1319,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",30,30,,16,12,1,1,,0,93.3,85.3,8,5.7,1.3,3.3,13.4,83.3,30,100
1320,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 1: Teaching on my course,30,30,,,,,,,,99.2,84.1,15.1,5.1,1.1,0,0.6,99.3,30,100
1321,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 2: Learning opportunities,30,30,,,,,,,,96,80.6,15.4,6,1.1,0.1,1.4,98.5,30,100
1322,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 3: Assessment and feedback,30,30,,,,,,,,89.3,74.4,14.9,6.9,1.1,0.6,3.1,96.3,30,100
1323,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 4: Academic support,30,30,,,,,,,,100,84.5,15.5,5.3,1.1,0,0.7,99.3,30,100
1324,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 5: Organisation and management,30,30,,,,,,,,96.7,79.9,16.8,6.1,1.1,0.1,0.9,99,30,100
1325,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 6: Learning resources,30,30,,,,,,,,93.9,89.3,4.6,5.2,1.1,8.8,25.7,65.5,30,100
1326,Full-time,All undergraduates,CAH3,CAH04-01-01,Psychology (non-specific),Theme 7: Student voice,30,30,,,,,,,,100,76.9,23.1,6.2,1.1,0,0,100,30,100
1327,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q01: How good are teaching staff at explaining things?,134.6,213.4,,18.52,78.87,26.67,10.5,,0,72.4,88.3,-16,3.2,6.3,100,0,0,165,63
1328,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q02: How often do teaching staff make the subject engaging?,134.6,213.4,,19.35,47.36,53.85,14,,0,49.6,73,-23.4,4,6.3,100,0,0,165,63
1329,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q03: How often is the course intellectually stimulating?,134.6,213.4,,63.53,54.36,13.17,3.5,,0,87.6,87.7,0,2.6,6.3,17.1,66.8,16.2,165,63
1330,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q04: How often does your course challenge you to achieve your best work?,134.6,213.4,,57.19,52.86,18.51,6,,0,81.8,83.3,-1.5,3,6.3,37.5,53.5,9,165,63
1331,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,134.6,213.4,,41.19,62.03,24.34,7,,0,76.7,81,-4.3,3.3,6.3,70.3,27.6,2,165,63
1332,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,134.6,213.4,,39.03,60.19,28.84,6.5,,0,73.7,85.8,-12,3.2,6.3,99.9,0.1,0,165,63
1333,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,132.9,213.4,,33.86,61.52,27.01,10.5,,1.67,71.8,78.8,-7,3.5,6.2,90,9.7,0.3,165,63
1334,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q08: To what extent does your course have the right balance of directed and independent study?,134.6,213.4,,28.86,47.52,40.18,18,,0,56.8,76.9,-20.2,3.8,6.3,100,0,0,165,63
1335,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,134.6,213.4,,30.52,60.02,32.85,11.17,,0,67.3,75.8,-8.5,3.7,6.3,94.8,5.1,0.1,165,63
1336,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q10: How clear were the marking criteria used to assess your work?,134.6,213.4,,21.18,43.86,45.68,23.84,,0,48.3,74.1,-25.7,4,6.3,100,0,0,165,63
1337,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q11: How fair has the marking and assessment been on your course?,134.6,213.4,,12.18,63.7,35.01,23.67,,0,56.4,81.6,-25.2,3.7,6.3,100,0,0,165,63
1338,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q12: How well have assessments allowed you to demonstrate what you have learned?,134.6,213.4,,14.68,62.53,36.01,21.34,,0,57.4,75.7,-18.3,3.8,6.3,100,0,0,165,63
1339,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q13: How often have you received assessment feedback on time?,132.1,213.4,,35.19,59.36,28.51,9,,2.5,71.6,79,-7.4,3.6,6.2,91.4,8.3,0.3,165,63
1340,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q14: How often does feedback help you to improve your work?,132.1,213.4,,28.18,51.7,37.68,14.5,,2.5,60.5,69.4,-8.9,4,6.2,94.8,5,0.2,165,63
1341,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q15: How easy was it to contact teaching staff when you needed to?,131.4,213.4,,48.87,58.52,18,6,,3.17,81.7,87,-5.3,2.9,6.2,83.3,16.4,0.4,165,63
1342,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q16: How well have teaching staff supported your learning?,131.7,213.4,,27.53,68.19,26,10,,2.84,72.7,84.7,-12,3.4,6.1,99.8,0.2,0,165,63
1343,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q17: How well organised is your course?,134.6,213.4,,25.69,73.86,28.01,7,,0,74,81.8,-7.8,3.4,6.3,94.1,5.8,0.1,165,63
1344,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q18: How well were any changes to teaching on your course communicated?,131.4,213.4,,26.19,63.69,32.01,9.5,,3.17,68.4,83.7,-15.3,3.6,6.3,100,0,0,165,63
1345,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q19: How well have the IT resources and facilities supported your learning?,129.1,213.4,,37.86,71.03,13.67,6.5,,5.5,84.4,86.8,-2.4,2.9,6.2,48.7,46.7,4.6,165,63
1346,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",125.9,213.4,,34.35,66.7,18.17,6.67,,8.67,80.3,88.2,-7.9,3,6.3,96.3,3.7,0,165,63
1347,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",127.2,213.4,,39.85,74.37,7.5,5.5,,7.34,89.8,89.8,0,2.5,6.3,16,68.4,15.6,165,63
1348,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q22: To what extent do you get the right opportunities to give feedback on your course?,134.6,213.4,,36.53,64.18,25.68,8.17,,0,74.8,85.7,-10.9,3.3,6.3,99.5,0.5,0,165,63
1349,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q23: To what extent are students' opinions about the course valued by staff?,132.6,213.4,,19.51,53.69,35.19,24.17,,2,55.2,74.7,-19.5,3.9,6.3,100,0,0,165,63
1350,Full-time,All undergraduates,CAH1,CAH09,Mathematical sciences,Q24: How clear is it that students' feedback on the course is acted on?,130.2,213.4,,15.84,45.18,46.7,22.5,,3.34,46.9,68.6,-21.7,4.1,6.3,100,0,0,165,63
